STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,MCCAIN_VOTES,MCCAIN_%,OTHER_VOTES,OTHER_%
FL,COLLIER,12,021,54450,0.384,86379,0.608,1159,0.008
TX,CAMERON,48,061,48480,0.641,26671,0.352,506,0.007
FL,BROWARD,12,011,492640,0.671,237729,0.324,3530,0.005
FL,MIAMI-DADE,12,086,499831,0.579,360551,0.418,3104,0.004
FL,MONROE,12,087,20907,0.519,18933,0.470,432,0.011
HI,KAUAI,15,007,20416,0.750,6245,0.229,563,0.021
HI,HONOLULU,15,003,214239,0.698,88164,0.287,4410,0.014
HI,MAUI,15,009,39727,0.767,11154,0.215,908,0.018
HI,KALAWAO,15,005,-9999,-99.990,-9999,-99.990,-9999,-99.990
HI,HAWAII,15,001,50819,0.759,14866,0.222,1231,0.018
OH,OTTAWA,39,123,12049,0.522,10618,0.460,402,0.017
OH,SANDUSKY,39,143,15601,0.514,14190,0.467,582,0.019
OH,SUMMIT,39,153,155105,0.576,110499,0.411,3455,0.013
OH,ATHENS,39,009,20722,0.666,9742,0.313,634,0.020
OH,BUTLER,39,017,66030,0.380,105341,0.606,2406,0.014
OH,CLINTON,39,027,6558,0.340,12409,0.643,338,0.018
OH,CUYAHOGA,39,035,458422,0.689,199880,0.300,7050,0.011
OH,FRANKLIN,39,049,334709,0.597,218486,0.390,7130,0.013
OH,HAMILTON,39,061,225213,0.530,195530,0.460,4343,0.010
OH,HIGHLAND,39,071,6856,0.357,11907,0.621,423,0.022
OH,HOCKING,39,073,6259,0.483,6364,0.491,338,0.026
OH,LICKING,39,089,33932,0.412,46918,0.570,1506,0.018
OH,MADISON,39,097,6532,0.374,10606,0.608,316,0.018
